tx_id,score,amount,time
6774,0.985,1.0,8528.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9487,0.99,1.0,14073.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8842,0.995,0.0,12093.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
8972,0.78,179.66,12393.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
10497,0.645,3.79,17220.0
10568,0.965,1.0,17520.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9487,0.99,1.0,14073.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8842,0.995,0.0,12093.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
8972,0.78,179.66,12393.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
10497,0.645,3.79,17220.0
10568,0.965,1.0,17520.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
11841,0.995,1.0,20332.0
12108,0.995,1.0,21046.0
11343,0.995,1.0,19762.0
12261,0.99,1.0,21419.0
12369,0.96,1.0,21662.0
14104,0.77,3.12,25095.0
14338,0.665,3.76,25426.0
11710,1.0,1.0,20011.0
11880,0.995,1.0,20451.0
12070,0.995,1.0,20931.0
14170,0.795,99.99,25198.0
14197,0.885,99.99,25231.0
14211,0.93,99.99,25254.0
15166,0.96,99.99,26523.0
15476,1.0,99.99,26863.0
15781,0.99,99.99,27219.0
16110,0.31,1.0,27524.0
16780,0.945,99.99,28143.0
16851,0.24,1.0,28233.0
17453,0.945,99.99,28726.0
14920,0.275,1.0,26217.0
15204,0.965,99.99,26556.0
15225,0.995,99.99,26585.0
15539,1.0,99.99,26931.0
15736,1.0,99.99,27163.0
15810,0.955,99.99,27252.0
16415,0.975,23.36,27784.0
16863,0.86,730.86,28242.0
15451,0.995,99.99,26833.0
15506,1.0,99.99,26899.0
15566,1.0,99.99,26961.0
15751,1.0,99.99,27187.0
17317,0.985,99.99,28625.0
17366,0.99,99.99,28658.0
17407,0.97,99.99,28692.0
17480,0.84,99.99,28755.0
18466,0.78,0.68,29526.0
18773,0.97,0.68,29753.0
623,0.6,529.0,472.0
18472,0.825,0.68,29531.0
18809,0.87,30.3,29785.0
541,0.8,0.0,406.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6338,0.98,1.0,7551.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
4920,0.72,239.93,4462.0
6329,0.77,1.0,7519.0
6331,0.965,1.0,7526.0
6427,0.99,1.0,7610.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6971,0.82,1809.68,9064.0
541,0.8,0.0,406.0
6108,0.905,59.0,6986.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6774,0.985,1.0,8528.0
6882,0.93,1.1,8808.0
623,0.6,529.0,472.0
6108,0.905,59.0,6986.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6641,0.945,1.0,8169.0
6734,0.985,1.0,8451.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9035,1.0,1.0,12597.0
4920,0.72,239.93,4462.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
10568,0.965,1.0,17520.0
12261,0.99,1.0,21419.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6774,0.985,1.0,8528.0
6820,1.0,1.0,8614.0
6882,0.93,1.1,8808.0
8312,0.95,1.0,11092.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6529,0.99,1.0,7891.0
6609,0.965,1.0,8090.0
6719,0.97,1.0,8415.0
6903,1.0,1.0,8886.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8615,0.975,1.0,11629.0
14170,0.795,99.99,25198.0
14211,0.93,99.99,25254.0
14338,0.665,3.76,25426.0
8842,0.995,0.0,12093.0
9487,0.99,1.0,14073.0
10497,0.645,3.79,17220.0
10801,0.985,1.0,18399.0
10897,1.0,1.0,18690.0
11343,0.995,1.0,19762.0
11710,1.0,1.0,20011.0
12108,0.995,1.0,21046.0
8972,0.78,179.66,12393.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
9509,0.995,1.0,14152.0
10204,0.8,11.39,15817.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10891,0.945,188.78,18675.0
11841,0.995,1.0,20332.0
11880,0.995,1.0,20451.0
12070,0.995,1.0,20931.0
12369,0.96,1.0,21662.0
4920,0.72,239.93,4462.0
541,0.8,0.0,406.0
14104,0.77,3.12,25095.0
14197,0.885,99.99,25231.0
623,0.6,529.0,472.0
6331,0.965,1.0,7526.0
6427,0.99,1.0,7610.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6820,1.0,1.0,8614.0
6882,0.93,1.1,8808.0
6903,1.0,1.0,8886.0
8335,0.94,1.0,11131.0
8842,0.995,0.0,12093.0
8972,0.78,179.66,12393.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9487,0.99,1.0,14073.0
10630,0.99,766.36,17838.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
11343,0.995,1.0,19762.0
11841,0.995,1.0,20332.0
11880,0.995,1.0,20451.0
12261,0.99,1.0,21419.0
15451,0.995,99.99,26833.0
15539,1.0,99.99,26931.0
15566,1.0,99.99,26961.0
15736,1.0,99.99,27163.0
15810,0.955,99.99,27252.0
16110,0.31,1.0,27524.0
6329,0.77,1.0,7519.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6108,0.905,59.0,6986.0
6338,0.98,1.0,7551.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6529,0.99,1.0,7891.0
6717,0.975,1.0,8408.0
6719,0.97,1.0,8415.0
6734,0.985,1.0,8451.0
6774,0.985,1.0,8528.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
16780,0.945,99.99,28143.0
16863,0.86,730.86,28242.0
17317,0.985,99.99,28625.0
17366,0.99,99.99,28658.0
18809,0.87,30.3,29785.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
9252,0.955,1.0,13323.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10497,0.645,3.79,17220.0
10498,0.645,3.93,17230.0
10568,0.965,1.0,17520.0
10690,0.88,1218.89,18088.0
11710,1.0,1.0,20011.0
12070,0.995,1.0,20931.0
12108,0.995,1.0,21046.0
12369,0.96,1.0,21662.0
23308,0.97,0.0,32686.0
14104,0.77,3.12,25095.0
14197,0.885,99.99,25231.0
14338,0.665,3.76,25426.0
14920,0.275,1.0,26217.0
15204,0.965,99.99,26556.0
15506,1.0,99.99,26899.0
15781,0.99,99.99,27219.0
14170,0.795,99.99,25198.0
14211,0.93,99.99,25254.0
15166,0.96,99.99,26523.0
15225,0.995,99.99,26585.0
15476,1.0,99.99,26863.0
15751,1.0,99.99,27187.0
27362,0.675,1.52,34521.0
16415,0.975,23.36,27784.0
16851,0.24,1.0,28233.0
17453,0.945,99.99,28726.0
17480,0.84,99.99,28755.0
18472,0.825,0.68,29531.0
17407,0.97,99.99,28692.0
18466,0.78,0.68,29526.0
18773,0.97,0.68,29753.0
27738,0.955,125.3,34684.0
27749,0.97,19.02,34687.0
29687,0.645,0.76,35585.0
30384,0.97,1.0,35899.0
30473,0.975,14.46,35942.0
31002,0.99,111.7,36170.0
20198,0.75,104.81,30852.0
33276,0.795,12.31,37167.0
23422,0.865,717.15,32745.0
26802,0.9,19.02,34256.0
41569,0.875,1.0,40742.0
27627,0.985,18.96,34634.0
30100,0.98,60.6,35771.0
30398,0.95,9.13,35906.0
30442,0.995,4.56,35926.0
28976,0.275,2.69,35261.0
30314,0.98,7.61,35866.0
42549,0.98,88.23,41147.0
42635,1.0,11.38,41181.0
42756,0.99,0.0,41233.0
42856,0.965,173.07,41273.0
42936,0.995,59.68,41305.0
42958,0.955,9.99,41313.0
43061,0.975,34.12,41353.0
43681,1.0,53.95,41607.0
30496,0.975,111.7,35953.0
46918,0.98,648.0,42988.0
40085,0.755,1.0,40086.0
41395,0.905,1.0,40662.0
39183,0.675,776.83,39729.0
40525,0.855,1.0,40276.0
41943,0.84,0.76,40892.0
42007,0.985,0.76,40918.0
55401,0.64,1.0,46925.0
56703,0.58,0.76,47545.0
42009,0.99,112.33,40919.0
42473,0.995,3.79,41116.0
42528,0.965,340.11,41138.0
42590,0.945,5.3,41164.0
42609,0.995,83.38,41170.0
42674,0.99,1.52,41194.0
42700,0.99,30.26,41204.0
42741,0.955,459.07,41227.0
43428,0.96,364.19,41505.0
43624,0.85,39.45,41582.0
44091,0.775,99.99,41791.0
44223,0.995,139.9,41851.0
44556,0.975,1.0,41991.0
42696,1.0,88.23,41203.0
42769,1.0,118.3,41237.0
42784,0.99,45.49,41243.0
42887,0.995,37.32,41285.0
42945,1.0,0.76,41308.0
43160,0.995,273.01,41397.0
43204,0.99,106.55,41413.0
43773,0.98,172.32,41646.0
44001,0.915,802.52,41743.0
44270,1.0,1.0,41870.0
45203,0.95,1.0,42247.0
57248,0.595,7.58,47826.0
45732,0.935,1.0,42474.0
46998,0.925,204.27,43028.0
48094,0.785,24.9,43494.0
46909,0.965,1.0,42985.0
47802,0.95,88.0,43369.0
61787,0.925,360.0,49985.0
63421,0.94,99.99,50706.0
50211,0.98,1.0,44393.0
50537,0.585,1.0,44532.0
52521,0.61,105.99,45501.0
64411,0.99,99.99,51135.0
52466,0.965,1.0,45463.0
52584,0.985,1.0,45541.0
53591,0.96,1.0,46057.0
53794,0.99,1.0,46149.0
69498,0.975,8.0,53451.0
69980,0.87,0.0,53658.0
57470,0.98,0.76,47923.0
58422,0.64,208.58,48380.0
58761,0.665,1.0,48533.0
57615,0.965,0.76,47982.0
59539,0.915,19.73,48884.0
74496,1.0,0.83,55614.0
61966,0.265,1.0,50067.0
63634,0.93,99.99,50808.0
76609,1.0,7.52,56650.0
64460,0.975,99.99,51155.0
64329,0.99,99.99,51112.0
79525,0.975,1.0,58060.0
68067,0.585,519.9,52814.0
68633,0.645,1.18,53076.0
70141,0.925,112.45,53727.0
68320,0.635,0.76,52934.0
68522,0.965,0.76,53031.0
70589,0.765,261.87,53937.0
82400,0.86,18.98,59385.0
83297,0.73,319.2,59777.0
72757,0.62,1.79,54846.0
73784,0.955,1.0,55279.0
73857,0.995,0.83,55311.0
74794,0.58,311.91,55760.0
74507,0.995,130.44,55618.0
76555,1.0,153.46,56624.0
77099,0.99,5.0,56887.0
77348,0.98,0.01,57007.0
75511,0.975,170.92,56098.0
76929,0.99,1.0,56806.0
77387,0.98,444.17,57027.0
77682,0.985,1.0,57163.0
91671,0.645,290.18,63578.0
92777,0.97,294.9,64093.0
93424,0.965,1.0,64412.0
79883,0.965,270.0,58222.0
79536,0.815,1.0,58067.0
79835,0.99,1.75,58199.0
79874,0.66,5.09,58217.0
80760,0.975,113.92,58642.0
81186,0.99,45.64,58822.0
93788,0.72,0.0,64585.0
94218,0.885,720.38,64785.0
95534,0.635,31.91,65358.0
95597,0.905,1354.25,65385.0
96341,0.59,98.01,65728.0
96994,0.995,7.53,66037.0
81609,0.95,1389.56,59011.0
83417,0.94,5.91,59840.0
83053,0.995,6.27,59669.0
84543,0.925,454.82,60353.0
86155,0.91,101.5,61108.0
87354,0.635,19.04,61646.0
88258,0.975,6.62,62059.0
88307,0.955,180.0,62080.0
88876,0.935,1.0,62330.0
102443,1.0,1.0,68207.0
105178,0.785,1.0,69394.0
106679,0.955,227.3,70071.0
106998,0.985,3.79,70229.0
88897,0.96,1.1,62341.0
89190,0.915,1402.16,62467.0
108708,0.955,426.4,71033.0
93486,0.745,0.0,64443.0
111690,0.955,238.9,72327.0
114271,0.935,16.48,73408.0
99506,0.955,489.71,67150.0
96789,0.855,101.5,65936.0
117974,0.315,12.01,74895.0
101509,0.68,320.0,67857.0
102441,1.0,1.0,68207.0
102442,1.0,1.0,68207.0
102445,1.0,1.0,68207.0
102446,1.0,1.0,68207.0
100623,0.64,549.06,67571.0
102444,1.0,1.0,68207.0
102782,0.62,19.59,68357.0
107067,0.96,318.11,70270.0
107637,0.915,824.83,70536.0
123141,0.955,254.76,76826.0
123201,0.885,1.0,76845.0
123301,0.725,1.0,76876.0
125342,0.97,106.9,77627.0
108258,0.655,0.76,70828.0
128479,0.81,60.0,78725.0
112840,0.685,45.03,72824.0
118308,0.61,30.14,75033.0
116139,0.93,76.94,74159.0
116404,0.88,311.28,74262.0
140786,0.965,1.0,83934.0
119714,0.59,29.95,75556.0
120505,0.98,99.85,75851.0
120837,0.99,99.9,75978.0
119781,0.91,124.53,75581.0
120085,0.34,109.9,75706.0
141257,0.99,0.0,84204.0
141259,0.985,512.25,84204.0
142557,0.615,354.33,84789.0
143188,0.92,2.0,85181.0
143728,0.97,1.0,85573.0
144108,0.98,310.42,85867.0
122479,0.975,219.8,76575.0
123238,0.87,1.0,76857.0
124115,0.89,1.0,77182.0
124176,0.695,1.0,77202.0
123270,0.825,1.0,76867.0
124036,0.6,129.0,77154.0
124087,0.875,1.0,77171.0
149522,0.93,52.69,91407.0
149577,0.675,1.0,91502.0
149587,0.665,1.0,91524.0
150601,0.85,1.0,93742.0
150647,0.99,8.54,93824.0
150660,0.99,44.9,93853.0
150663,0.995,316.06,93853.0
150665,0.965,209.65,93856.0
150666,0.995,78.0,93860.0
150678,1.0,30.31,93879.0
150692,0.985,37.93,93904.0
150697,0.99,97.0,93920.0
151008,1.0,1.0,94362.0
151009,1.0,1.0,94362.0
151196,0.69,571.48,94952.0
151519,0.995,1.63,95628.0
131272,0.65,0.2,79540.0
151730,0.78,18.96,96135.0
153823,1.0,2.28,100223.0
154587,0.935,0.0,102114.0
154684,0.825,0.01,102572.0
154718,0.995,0.0,102669.0
154960,0.85,2.27,103808.0
135718,0.9,7.57,81372.0
157585,0.66,1.0,110087.0
137705,0.84,1.0,82289.0
141258,0.99,0.0,84204.0
141260,0.985,512.25,84204.0
143333,1.0,0.0,85285.0
143336,0.99,252.92,85285.0
143731,0.99,240.77,85576.0
142405,0.95,12.31,84694.0
143334,1.0,0.0,85285.0
143335,0.99,252.92,85285.0
163149,0.98,17.06,115691.0
163586,0.98,65.0,116067.0
163769,0.295,19.99,116195.0
145800,0.66,451.27,87202.0
147548,0.92,1.18,88672.0
144104,0.99,1.0,85864.0
144754,0.605,323.77,86376.0
146790,0.67,829.41,87883.0
147605,0.69,9.21,88737.0
149145,0.61,6.99,90676.0
149773,0.28,1.0,91898.0
149874,0.935,600.73,92102.0
150644,0.955,75.86,93823.0
150677,1.0,30.31,93879.0
150679,0.96,104.03,93879.0
150680,0.96,104.03,93879.0
150687,1.0,1.0,93897.0
150925,0.98,45.48,94141.0
151006,1.0,1.0,94362.0
149357,0.82,38.76,91075.0
149600,0.845,261.22,91554.0
149869,0.9,18.0,92092.0
150654,0.98,0.01,93834.0
150661,0.99,44.9,93853.0
150662,0.995,316.06,93853.0
150667,0.995,78.0,93860.0
150668,1.0,188.52,93860.0
150669,1.0,188.52,93860.0
150684,0.98,1.0,93888.0
150715,1.0,11.4,93965.0
151007,1.0,1.0,94362.0
151011,1.0,1.0,94364.0
151103,0.61,33.76,94625.0
151462,0.995,1.63,95559.0
152019,0.765,1.0,96717.0
152223,1.0,8.64,97121.0
152295,0.99,9.82,97235.0
154371,0.945,2.28,101313.0
154668,0.975,0.0,102480.0
154719,0.985,0.0,102671.0
151807,0.93,33.59,96291.0
153835,0.965,1.0,100298.0
153885,0.84,0.76,100501.0
154234,0.915,1.0,100924.0
154286,0.615,0.92,101051.0
154454,0.96,147.87,101597.0
154633,0.83,22.04,102318.0
154670,0.95,104.0,102489.0
154676,0.99,2.28,102542.0
154693,0.99,1.0,102619.0
154694,0.98,346.94,102622.0
154697,0.98,7.59,102625.0
154720,0.96,119.74,102676.0
154877,0.265,1.52,103455.0
156990,0.98,186.13,109298.0
157868,0.97,0.76,110547.0
157918,0.59,635.1,110617.0
156988,0.99,0.0,109297.0
157871,0.96,80.22,110552.0
177195,0.95,11.0,123078.0
184379,0.855,25.0,126219.0
167184,0.89,105.89,118532.0
167305,0.865,105.89,118603.0
190041,0.39,0.76,128663.0
191074,0.615,720.8,129095.0
172787,0.99,144.62,121238.0
192382,0.97,2.0,129668.0
192687,0.655,276.17,129808.0
176049,0.66,2125.87,122608.0
197586,0.585,480.72,132086.0
198868,0.775,1.0,132688.0
201098,0.995,0.0,133731.0
178208,0.99,45.51,123525.0
203328,0.85,925.31,134769.0
204079,0.63,108.51,135102.0
204503,0.94,84.28,135314.0
182992,0.605,3.22,125612.0
181966,0.895,40.0,125200.0
183106,0.765,0.0,125658.0
212516,0.95,0.01,138894.0
189701,0.87,93.35,128519.0
189878,0.83,1.0,128595.0
190368,0.955,175.9,128803.0
191267,0.68,7.18,129186.0
191359,0.955,4.87,129222.0
189587,0.99,67.9,128471.0
190263,0.245,0.76,128759.0
214775,0.665,0.69,139816.0
215132,0.96,723.21,139951.0
215953,0.695,0.77,140293.0
191544,0.91,80.9,129308.0
191690,0.98,0.0,129371.0
192529,0.96,1.0,129741.0
192584,0.94,362.55,129764.0
218442,0.97,195.66,141320.0
195383,0.6,723.21,131024.0
222133,0.935,144.8,142840.0
226814,0.99,667.55,144808.0
226877,0.97,0.0,144839.0
199896,0.905,1335.0,133184.0
201601,0.98,130.21,133958.0
229730,0.75,2.22,146026.0
231978,0.595,8.0,146998.0
203700,0.92,0.0,134928.0
203324,0.955,1.0,134766.0
204064,0.945,345.0,135095.0
234574,0.98,0.0,148028.0
234632,0.98,1.59,148053.0
234633,0.98,1.59,148053.0
235634,0.96,0.76,148476.0
208651,0.985,39.45,137211.0
237107,0.98,0.0,149096.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9487,0.99,1.0,14073.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8842,0.995,0.0,12093.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
8972,0.78,179.66,12393.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
10497,0.645,3.79,17220.0
10568,0.965,1.0,17520.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
11841,0.995,1.0,20332.0
12108,0.995,1.0,21046.0
541,0.8,0.0,406.0
541,0.8,0.0,406.0
623,0.6,529.0,472.0
4920,0.72,239.93,4462.0
6108,0.905,59.0,6986.0
6334,0.97,1.0,7535.0
6336,0.98,1.0,7543.0
6446,0.98,1.0,7672.0
6472,0.945,1.0,7740.0
6609,0.965,1.0,8090.0
6641,0.945,1.0,8169.0
6774,0.985,1.0,8528.0
6331,0.965,1.0,7526.0
6717,0.975,1.0,8408.0
6734,0.985,1.0,8451.0
6820,1.0,1.0,8614.0
6870,1.0,1.0,8757.0
6899,1.0,1.0,8878.0
6903,1.0,1.0,8886.0
6329,0.77,1.0,7519.0
6338,0.98,1.0,7551.0
6427,0.99,1.0,7610.0
6529,0.99,1.0,7891.0
6719,0.97,1.0,8415.0
6882,0.93,1.1,8808.0
6971,0.82,1809.68,9064.0
8296,0.925,1.0,11080.0
8335,0.94,1.0,11131.0
8617,0.865,1.0,11635.0
8845,0.985,30.39,12095.0
9487,0.99,1.0,14073.0
9509,0.995,1.0,14152.0
10484,0.605,3.79,17187.0
10498,0.645,3.93,17230.0
8312,0.95,1.0,11092.0
8615,0.975,1.0,11629.0
8842,0.995,0.0,12093.0
10204,0.8,11.39,15817.0
10897,1.0,1.0,18690.0
8972,0.78,179.66,12393.0
9035,1.0,1.0,12597.0
9179,0.985,1.0,13126.0
9252,0.955,1.0,13323.0
10497,0.645,3.79,17220.0
10568,0.965,1.0,17520.0
10630,0.99,766.36,17838.0
10690,0.88,1218.89,18088.0
10801,0.985,1.0,18399.0
10891,0.945,188.78,18675.0
11841,0.995,1.0,20332.0
12108,0.995,1.0,21046.0
11343,0.995,1.0,19762.0
12261,0.99,1.0,21419.0
12369,0.96,1.0,21662.0
14104,0.77,3.12,25095.0
14338,0.665,3.76,25426.0
11710,1.0,1.0,20011.0
11880,0.995,1.0,20451.0
12070,0.995,1.0,20931.0
14170,0.795,99.99,25198.0
14197,0.885,99.99,25231.0
14211,0.93,99.99,25254.0
15166,0.96,99.99,26523.0
15476,1.0,99.99,26863.0
15781,0.99,99.99,27219.0
16110,0.31,1.0,27524.0
16780,0.945,99.99,28143.0
16851,0.24,1.0,28233.0
17453,0.945,99.99,28726.0
14920,0.275,1.0,26217.0
